Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Rating,Restaurant Review,Restaurant Address,District/Kecamatan,City,Province,Additional Info
Maru Maru Ichi Takoyaki,['Quick Bites'],"['Snacks', 'Makanan Jalanan']",['Jepang'],40000,3.6,25,"Gajah Mada Plaza, Lantai 2, Jl. Gajah Mada No. 19-26, Gambir, Jakarta",Gambir,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Pesan Antar']"
JP Bistro - Aryaduta Jakarta,['Casual Dining'],['Kopi'],"['Barat', 'Indonesia']",600000,3.3,21,"Hotel Aryaduta Jakarta, Jl. Prajurit KKO Usman dan Harun No. 44-48, Gambir, Jakarta",Gambir,Jakarta Pusat,DKI Jakarta,"['Alkohol Tersedia', 'Sarapan', 'Desserts and Bakes', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Menyediakan cocktail', 'Wifi Tersedia', 'Buffet']"
Bang Yoz Cafe & Resto,"['Quick Bites', 'Kafe']",['Kopi'],"['No Region', 'Indonesia']",100000,3.8,50,"Jl. Bintaro Utama 3A, Blok Pisok I No. 14, Pondok Aren, Tangerang",Ciputat Timur,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bakmi Bule,['Quick Bites'],['Bakmi'],['Indonesia'],60000,3.3,22,"Jl. Taman Sari XI No. 11, Mangga Besar, Jakarta",Tamansari,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Martabak Afat,['Quick Bites'],"['Martabak', 'Makanan Jalanan']",['Indonesia'],80000,3.2,15,"Ruko Melia Walk, Blok MD-A no 25, Jl. Graha Raya Bintaro, Serpong Utara, Tangerang",Serpong Utara,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes', 'Pesan Antar']"
Sate Pasar Lama Tangerang,['Quick Bites'],['Satay'],['Indonesia'],120000,3.3,13,"Ruko Pasar Modern BSD, Jl. Letnan Sutopo, Serpong, Tangerang",Serpong,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
RM Kebuli,['Quick Bites'],['Kopi'],"['Arab', 'Indonesia']",80000,3.5,16,"Jl. Jend. Sudirman No. 14A, Bogor Tengah, Bogor",Bogor Tengah,Bogor Kota,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok', 'Pesan Antar']"
Kedai Kopi Aceh,"['Casual Dining', 'Kafe']","['Kopi', 'Minuman']","['Aceh', 'No Region']",180000,3.6,74,"Ruko Crown Golf, Blok D No. 58-61, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Sarapan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Serai Wangi,['Casual Dining'],['Kopi'],"['Jawa', 'Sunda', 'Sulawesi']",150000,3.4,10,"Jl. Raya Rawabuntu No. 19, Serpong, Tangerang",Serpong,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Tempat duduk di luar']"
Bakmie Kadut Asli,['Quick Bites'],['Bakmi'],['Indonesia'],70000,2.8,29,"Ruko Taman Palem Lestari, Blok C5 No. 29, Jl. Taman Palem Lestari, Cengkareng, Jakarta",Cengkareng,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Caffeine Lab,['Kafe'],"['Kopi', 'Minuman']",['Indonesia'],60000,2.7,7,"AKR Tower, Jl. Panjang No. 5, Kebon Jeruk, Jakarta",Kebon Jeruk,Jakarta Barat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Sarapan', 'Di dalam ruangan', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Tahta Coffee,['Toko Minuman'],"['Tea', 'Kopi', 'Minuman']",['No Region'],60000,3.5,20,"Mayapada Tower 1, Ground Floor, Jl. Jend. Sudirman Kav. 28, Sudirman, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,['Hanya Bawa Pulang']
Nasi Padang Trio Jaya,['Food Court'],['Kopi'],"['Indonesia', 'Padang']",50000,3.3,4,"Kuliner GBK, Pintu 7, Jl. Stadion Senayan, Senayan, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok']"
