,Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Address,Restaurant Rating,Restaurant Review,City,Province,Latitude,Longitude
6670,Sari Gucci,['Quick Bites'],['Kopi'],['Padang'],50000,"Ruko Pamulang Permai, Blok SH 8 No. 2-3, Pamulang, Tangerang",2.8,11,Tangerang Selatan,Banten,-6.343733,106.734951
6671,Jagoan Bakso Malang,['Quick Bites'],['Bakso'],"['Jawa', 'Indonesia']",100000,"Transmart Yasmin, Jl. Ringroad Taman Yasmin No. 29, Tanah Sareal, Bogor",3.6,4,Bogor Kota,Jawa Barat,-6.5559159383,106.77543036600001
6672,Crunchy Fried Chicken Steak,['Quick Bites'],"['Ayam', 'Tea', 'Steak']","['No Region', 'Barat']",70000,"Ruko Sawangan Permai No. 11, Jl. Pasir Putih, Sawangan, Depok",3.2,5,Depok,Jawa Barat,-6.406401,106.776632
6673,Restoran Zharrini,['Casual Dining'],['Kopi'],['Jawa'],150000,"Ruko Kemang Pratama 1, Jl. Kemang Pratama, Rawalumbu, Bekasi",3.3,10,Bekasi Kota,Jawa Barat,-6.2770333333,106.98942035399999
6674,Chez Kluwih,['Kaki Lima'],['Makanan Cepat Saji'],['Indonesia'],60000,"Jl. Bona Indah I No. 10, Lebak Bulus, Jakarta",3.8,4,Jakarta Selatan,DKI Jakarta,-6.2978830000000015,106.782026
6675,Soto Betawi Mangga Besar,['Food Court'],['Soto'],"['Indonesia', 'Betawi']",80000,"Summarecon Mall Serpong, Lantai 2, Food Temptation, Jl. Boulevard Gading Serpong, Serpong Utara, Tangerang",2.5,10,Tangerang Kabupaten,Banten,-6.239106273200001,106.628672964
6676,Choco Pour Vous,['Toko Minuman'],['Minuman'],['Indonesia'],60000,"Jl. Kalideres Permai, Blok C7 No. 10, Daan Mogot, Jakarta",3.5,4,Jakarta Barat,DKI Jakarta,-6.148478,106.705673
6677,Popuri Chicken,['Quick Bites'],['Ayam'],['Indonesia'],80000,"Maxley Suites, Jl. Edutown No. 101, Serpong, Tangerang",3.2,5,Tangerang Kabupaten,Banten,-6.302614,106.638733
6678,Mr. BP,['Food Court'],['Kopi'],['Jawa'],60000,"ITC Permata Hijau, Lantai 4, Food Court, Jl. Letjen Soepeno, Kebayoran Lama, Jakarta",3.2,6,Jakarta Selatan,DKI Jakarta,-6.220779,106.783765
6679,Pondok Sate Blora Remaja,['Kaki Lima'],['Satay'],['Indonesia'],80000,"Jl. Panglima Polim Raya, Blok A No. 62, Pondok Indah, Jakarta",3.6,6,Jakarta Selatan,DKI Jakarta,-6.253429,106.797167
6680,Waroeng Republic,['Quick Bites'],['Kopi'],['Indonesia'],90000,"Komplek Ruko DPR RI, Jl. Kemanggisan Raya, Blok B No. 4G, Kemanggisan, Jakarta",3.4,5,Jakarta Barat,DKI Jakarta,-6.196503,106.782355
6681,Warung Kingkong,['Quick Bites'],['Kopi'],['Indonesia'],70000,"Jl. Kemajuan No. 1, Larangan, Tangerang",2.9,10,Jakarta Selatan,DKI Jakarta,-6.23827,106.754246
6682,Okaeri Coffee,['Kafe'],"['Kopi', 'Minuman']",['No Region'],60000,"Belmont Residence Tower Everest, Jl. Meruya Ilir Raya, Kebon Jeruk, Jakarta",3.5,11,Jakarta Barat,DKI Jakarta,-6.202381,106.763564
6683,Warung Pak Dhe Kan,['Quick Bites'],['Kopi'],"['Jawa', 'Indonesia']",70000,"Jl. Jend. Ahmad Yani No. 38, Tanah Sareal, Bogor",3.8,7,Bogor Kota,Jawa Barat,-6.577452,106.799449
6684,Selera Coffee Shop - Hotel Bintang Griyawisata,['Kafe'],"['Tea', 'Kopi', 'Minuman']",['No Region'],150000,"Hotel Bintang Griyawisata, Jl. Raden Saleh No. 16, Senen, Jakarta",3.5,5,Jakarta Pusat,DKI Jakarta,-6.1901319819000005,106.844484508
6685,Bakmi Tien Sim,['Quick Bites'],['Bakmi'],"['Indonesia', 'Chinese']",100000,"Jl. Kp. Gusti, Blok A No. 31, Jelambar, Jakarta",3.5,4,Jakarta Utara,DKI Jakarta,-6.139288,106.777886
6686,Soto Khas Tanah Abang Pak Hapid,['Quick Bites'],['Soto'],['Indonesia'],100000,"Summarecon Mall Serpong, Salsa Food City, Jl. Boulevard Raya, Serpong Utara, Tangerang",3.6,4,Tangerang Kabupaten,Banten,-6.2382019999999985,106.63000900000002
6687,Pondok Pa' Son,['Quick Bites'],['Satay'],"['Jawa', 'Indonesia']",120000,"Jl. Tanah Abang 1 No. 7, Tanah Abang, Jakarta",3.0,6,Jakarta Pusat,DKI Jakarta,-6.172715,106.820053
6688,Depot Mie Surabaya,['Quick Bites'],['Bakmi'],"['Jawa', 'Indonesia']",70000,"Jl. Bintara Raya No. 1, Bekasi Barat, Bekasi",3.3,11,Bekasi Kota,Jawa Barat,-6.231398,106.960806
6689,Andereyo Cafe & Resto,"['Casual Dining', 'Kafe']","['Tea', 'Kopi']","['No Region', 'Barat']",150000,"Ruko Paramount PCB No. 29, Jl. Raya Kelapa Dua, Serpong Utara, Tangerang Jakarta, Serpong",3.6,13,Tangerang Kabupaten,Banten,-6.242793,106.623597
6690,Martabak Kamilaris,['Quick Bites'],['Martabak'],['Indonesia'],80000,"Ruko Citra Garden 7 Blok E1 No. 17, Jl. Citra 7, Daan Mogot, Jakarta",3.2,9,Jakarta Barat,DKI Jakarta,-6.144751,106.70061
6691,Kopii Pong,['Quick Bites'],"['Kopi', 'Minuman']","['No Region', 'Indonesia', 'Jepang']",90000,"Ruko Crystal, Blok CRL 1 No. 33, Jl. Gading Golf Boulevard Gading Serpong, Serpong Utara, Tangerang",3.4,13,Tangerang Kabupaten,Banten,-6.2455367366,106.637026369
6692,Daily Loaf,['Toko Kue & Roti'],['Kue & Roti'],['Indonesia'],70000,"IDX, Tower 1, Lantai 1, Jl. Jenderal Sudirman, SCBD, Jakarta",3.5,4,Jakarta Selatan,DKI Jakarta,-6.2236300434,106.809095107
6693,Bakso Gatot,['Quick Bites'],['Bakso'],['Indonesia'],80000,"Jl. Raya Gang Lurah Petukangan Selatan No. 10, Larangan, Tangerang",3.4,6,Jakarta Selatan,DKI Jakarta,-6.239528,106.75252
6694,Anco Coffee Roastery,['Toko Minuman'],"['Kopi', 'Minuman']","['No Region', 'Barat']",70000,"Jl. Guru Mughni No. 42, Kuningan, Jakarta",3.6,13,Jakarta Selatan,DKI Jakarta,-6.2255129999999985,106.821299
6695,Empal Gentong & Sate Bumbu H. Uky,['Quick Bites'],['Satay'],"['Indonesia', 'Betawi']",100000,"Ruko Waterpark Kota Kembang, Jl. Boulevard Grand Depok City No. 21, Sukmajaya, Depok",3.6,5,Depok,Jawa Barat,-6.420791,106.828783
6696,Martabak Bandung 33,['Quick Bites'],"['Martabak', 'Makanan Jalanan']",['Indonesia'],60000,"Jl. Cabe Raya No. 18, Pamulang, Tangerang",3.7,11,Tangerang Selatan,Banten,-6.3457620000000015,106.753631
6697,Depot Karebosi,['Quick Bites'],['Kopi'],['Makassar'],100000,"Food Garden, Blok A No. 8, Jakarta Garden City, Jl. Tipar Cakung, Cakung, Jakarta",3.1,6,Jakarta Timur,DKI Jakarta,-6.172418657100001,106.957896016
6698,Merry,['Toko Kue & Roti'],['Kue & Roti'],['Indonesia'],40000,"Jl. Pintu Air Raya No. 20C, Pasar Baru, Jakarta",3.0,7,Jakarta Pusat,DKI Jakarta,-6.1664949999999985,106.831843
6699,La Table - Hotel Ibis Jakarta Slipi,['Casual Dining'],"['Satay', 'Soto']","['Jawa', 'Indonesia', 'Barat']",400000,"Hotel Ibis Jakarta Slipi, Jl. Letjen S. Parman, Slipi, Jakarta",2.8,6,Jakarta Barat,DKI Jakarta,-6.19919,106.799089
6700,Sate Kardjan Cibubur,['Quick Bites'],"['Bubur', 'Satay']","['Asia', 'Indonesia']",70000,"Jl. Putri tunggal No. 100, Cimanggis, Depok",3.7,4,Depok,Jawa Barat,-6.383064,106.885751
6701,Warung Cak Lontong,['Quick Bites'],['Snacks'],['Indonesia'],70000,"Season City, Lantai 1, Jl. Prof. Dr. Latumenten No. 33, Tambora, Jakarta",2.2,12,Jakarta Barat,DKI Jakarta,-6.153997,106.796355
6702,Ayam Gepuk Nuklir Bekasi,['Quick Bites'],['Ayam'],['Jawa'],50000,"Jl. Pariwisata Raya No 1A, Rawalumbu, Bekasi",3.3,4,Bekasi Kota,Jawa Barat,-6.2698510661,107.003882154
6703,Bolu Rasa,['Toko Kue & Roti'],['Kue & Roti'],['Indonesia'],40000,"Perum Dukuh Zamrud, Blok F2 No. 51, Jl. Dukuh Zamrud Selatan, Mustikajaya, Bekasi",2.3,5,Bekasi Kota,Jawa Barat,-6.317184682000001,107.01960928700001
6704,Bakmi Buncit,['Quick Bites'],"['Bakmi', 'Bakso']","['Betawi', 'Indonesia', 'Chinese']",80000,"Jl. Margonda Raya, Beji, Depok",2.6,25,Depok,Jawa Barat,-6.3732929714,106.83254297799999
6705,Kuliner Jaksa 37,['Quick Bites'],['Kopi'],['Indonesia'],40000,"Jl. Jaksa No. 37, Menteng, Jakarta",3.2,13,Jakarta Pusat,DKI Jakarta,-6.185783,106.829178
6706,Rumah Makan Mercury,['Quick Bites'],['Kopi'],['Padang'],100000,"Jl. Sunter Paradise, Blok K No. 46, Sunter, Jakarta",3.7,4,Jakarta Utara,DKI Jakarta,-6.136725,106.866368
6707,Kopi Shock,['Kafe'],"['Kopi', 'Minuman']","['No Region', 'Indonesia']",80000,"Jl. Jatiwaringin Raya No. 126, Pondok Gede, Bekasi 17411",3.3,5,Bekasi Kota,Jawa Barat,-6.282803,106.913969
6708,Pétale Tisane,['Toko Minuman'],"['Minuman', 'Bubble Tea']",['Indonesia'],50000,"Universitas Prasetiya Mulya, Jl. Edu Town Kav. 1 No. 1, Serpong, Tangerang",3.5,22,Tangerang Kabupaten,Banten,-6.300883,106.63993
6709,Soto Betawi Rawamangun,['Quick Bites'],['Soto'],"['Indonesia', 'Betawi']",60000,"Jl. Tenggiri No. 18, Pulo Gadung, Jakarta",3.7,12,Jakarta Timur,DKI Jakarta,-6.200694,106.89391
6710,Pempek Aling,['Quick Bites'],['Pempek'],['Palembang'],80000,"Puri Indah Mall, Lantai Ground, Jl. Puri Indah Raya, Puri Indah, Jakarta",2.6,4,Jakarta Barat,DKI Jakarta,-6.188369000000002,106.733636
6711,Yes Cake Bakery,['Toko Kue & Roti'],['Kue & Roti'],['No Region'],30000,"Jl. Penggilingan Raya, Cakung, Jakarta",3.3,7,Jakarta Timur,DKI Jakarta,-6.2001501923,106.935208886
6712,Bakmie Rempoa,['Quick Bites'],['Bakmi'],"['Jawa', 'Indonesia', 'Chinese']",120000,"Jl. RC Veteran No. 10, Bintaro, Jakarta",3.4,6,Jakarta Selatan,DKI Jakarta,-6.265154,106.76582
6713,Batavia Coffee Shop - Best Western Mangga Dua,['Casual Dining'],"['Kopi', 'Minuman']","['Amerika', 'No Region', 'Indonesia']",300000,"Best Western Mangga Dua Hotel & Residence, Jl. Mangga Dua Abdad 111, Mangga Dua, Jakarta",2.8,12,Jakarta Pusat,DKI Jakarta,-6.139493387100001,106.827061884
6714,Yusa Martabak,['Food Court'],['Martabak'],['Indonesia'],100000,"Q Food & Music, Jl. Dr. Susilo Raya No. 7-8, Grogol, Jakarta",2.1,4,Jakarta Barat,DKI Jakarta,-6.165832,106.795766
6715,Anthurium - The Acacia Hotel,"['Toko Kue & Roti', 'Dessert Parlor']","['Desserts', 'Kue & Roti']",['Indonesia'],100000,"The Acacia Hotel, Jl. Kramat Raya No. 81, Senen, Jakarta",2.8,4,Jakarta Pusat,DKI Jakarta,-6.1892886783000005,106.846931017
6716,Shako Ngopi,"['Quick Bites', 'Kafe']","['Kopi', 'Minuman']","['No Region', 'Barat', 'Indonesia', 'Jepang']",120000,"Kompleks Bharata Pura, Jl. Bharatapura, Blok 2 No. 9, Tanah Sareal, Bogor",3.7,4,Bogor Kota,Jawa Barat,-6.5680760106,106.791418679
6717,P&C Coffee,['Kafe'],"['Kopi', 'Minuman']",['No Region'],100000,"Senayan City, Lantai Lower Ground, Jl. Asia Afrika, Senayan, Jakarta",2.4,10,Jakarta Pusat,DKI Jakarta,-6.2272933323,106.79779596600001
