Website,Delivery Service
https://www.zomato.com/id/jakarta/lamandine-patisserie-whiz-prime-hotel-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/hot-station-muara-karang,Yes
https://www.zomato.com/id/jakarta/xyz-district-green-ville,Yes
https://www.zomato.com/id/jakarta/rm-indo-gaya-rasa-fatmawati,Yes
https://www.zomato.com/id/jakarta/the-porte-eatery-and-cafe-benda,Yes
https://www.zomato.com/id/jakarta/eaton-1-fatmawati,Yes
https://www.zomato.com/id/jakarta/mie-aceh-seulawah-beji-depok,Yes
https://www.zomato.com/id/jakarta/warung-bang-dairy-kebon-jeruk,Yes
https://www.zomato.com/id/jakarta/gen-co-cempaka-putih,Yes
https://www.zomato.com/id/jakarta/mr-robak-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/rawon-setan-sawah-besar,Yes
https://www.zomato.com/id/jakarta/warung-bas-bubur-ayam-sukabumi-tebet,Yes
https://www.zomato.com/id/jakarta/bakmi-gg-mangga-gajah-mada,Yes
https://www.zomato.com/id/jakarta/lauw-bakery-fatmawati,Yes
https://www.zomato.com/id/jakarta/mie-ayam-asoy-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/roastworks-coffee-sisha-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/momiji-aston-priority-simatupang-cilandak,Yes
https://www.zomato.com/id/jakarta/urban-place-cafe-resto-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/beer-hall-scbd,Yes
https://www.zomato.com/id/jakarta/tutup-panci-coffee-eatery-serpong-utara-tangerang,Yes
https://www.zomato.com/id/jakarta/bumi-sampireun-cisarua-bogor,Yes
https://www.zomato.com/id/jakarta/hattori-shabu-shabu-yakiniku-muara-karang,Yes
https://www.zomato.com/id/jakarta/ayam-lemes-tebet,Yes
https://www.zomato.com/id/jakarta/kings-cafe-tanah-abang,Yes
https://www.zomato.com/id/jakarta/dapur-indonesia-menteng,Yes
https://www.zomato.com/id/jakarta/bakso-total-solo-mangga-besar,Yes
https://www.zomato.com/id/jakarta/kalimaro-kitchen-and-bar-menteng,Yes
https://www.zomato.com/id/jakarta/restoran-saiyo-bogor-utara,Yes
https://www.zomato.com/id/jakarta/hokben-delivery-meruya,Yes
https://www.zomato.com/id/jakarta/nasi-goreng-gila-ok-menteng,Yes
https://www.zomato.com/id/jakarta/tuna-ocean-restaurant-and-bar-serpong-utara-tangerang,Yes
https://www.zomato.com/id/jakarta/kedai-sate-abu-bakar-cisarua-bogor,Yes
https://www.zomato.com/id/jakarta/waroenk-kenyank-jelambar,Yes
https://www.zomato.com/id/jakarta/coffee-shop-matraman-hotel-grand-menteng-matraman,Yes
https://www.zomato.com/id/jakarta/mccafe-puri-indah,Yes
https://www.zomato.com/id/jakarta/token-gajah-mada,Yes
https://www.zomato.com/id/jakarta/rm-sinar-rizqy-benda-tangerang,Yes
https://www.zomato.com/id/jakarta/neo-sinar-pagi-kalibata,Yes
https://www.zomato.com/id/jakarta/minang-sepakat-1-matraman,Yes
https://www.zomato.com/id/jakarta/kedai-soyu-cimanggis-depok,Yes
https://www.zomato.com/id/jakarta/seafood-proklamasi-m3-cikini,Yes
https://www.zomato.com/id/jakarta/magia-coffee-2-fatmawati,Yes
https://www.zomato.com/id/jakarta/sop-konro-karebosi-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/kyoto-gion-cafe-kemang,Yes
https://www.zomato.com/id/jakarta/la-posta-taste-of-argentina-sudirman,Yes
https://www.zomato.com/id/paulanerbrauhaus,Yes
https://www.zomato.com/id/jakarta/hidangan-minang-raya-bogor-timur-bogor,Yes
https://www.zomato.com/id/jakarta/bang-martabak-melawai,Yes
https://www.zomato.com/id/jakarta/komposisi-kopi-ciledug-tangerang,Yes
https://www.zomato.com/id/jakarta/rm-wink-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/warume-cengkareng,Yes
https://www.zomato.com/id/jakarta/seafood-bakoel-otonk-mangga-besar,Yes
https://www.zomato.com/id/jakarta/soto-ayam-ambengan-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/nasi-goreng-kambing-kebon-sirih-cisarua-bogor,Yes
https://www.zomato.com/id/jakarta/kebab-turki-baba-rafi-1-lebak-bulus,Yes
https://www.zomato.com/id/jakarta/kopi-ini-1-lebak-bulus,Yes
https://www.zomato.com/id/jakarta/ramen-seirock-ya-thamrin,Yes
https://www.zomato.com/id/jakarta/daging-asap-sambal-sei-sapi-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/shishabar-kemang-kemang,Yes
https://www.zomato.com/id/jakarta/pandor-dharmawangsa,Yes
https://www.zomato.com/id/jakarta/seilera-sei-sapi-1-bintaro,Yes
https://www.zomato.com/id/jakarta/liberta-sudirman,Yes
https://www.zomato.com/id/jakarta/minus-two-restaurant-bar-pantai-indah-kapuk,Yes
https://www.zomato.com/id/jakarta/mujigae-bekasi-utara-bekasi,Yes
https://www.zomato.com/id/jakarta/little-league-senopati,Yes
https://www.zomato.com/id/jakarta/yum-cha-hauz-mangga-besar,Yes
https://www.zomato.com/id/jakarta/pono-kemang,Yes
https://www.zomato.com/id/jakarta/seven-kingdoms-pluit,Yes
https://www.zomato.com/id/jakarta/sekedar-kopi-tebet,Yes
https://www.zomato.com/id/jakarta/stark-taproom-1-scbd,Yes
https://www.zomato.com/id/jakarta/warung-fotkop-fatmawati,Yes
https://www.zomato.com/id/jakarta/exquise-patisserie-menteng,Yes
https://www.zomato.com/id/jakarta/kohicha-cafe-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/ayam-goreng-berkah-rahmat-dharmawangsa,Yes
https://www.zomato.com/id/jakarta/cork-screw-thamrin,Yes
https://www.zomato.com/id/jakarta/o-tu-caf%C3%A9-resto-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/bakerzin-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/teras-rumah-nenek-cibubur,Yes
https://www.zomato.com/id/jakarta/orbit-gelato-1-pantai-indah-kapuk,Yes
https://www.zomato.com/id/jakarta/al-jazeerah-signature-menteng,Yes
https://www.zomato.com/id/jakarta/kopi-nako-1-bogor-timur-bogor,Yes
https://www.zomato.com/id/jakarta/restoran-beautika-manado-senayan,Yes
https://www.zomato.com/id/jakarta/warung-bakmi-mpek-tjoen-gandaria,Yes
https://www.zomato.com/id/jakarta/phos-coffee-eatery-roxy,Yes
https://www.zomato.com/id/jakarta/sore-izakaya-serpong-tangerang,Yes
https://www.zomato.com/id/jakarta/coffee-31-menteng,Yes
https://www.zomato.com/id/jakarta/kalaha-at-the-wharf-ancol,Yes
https://www.zomato.com/id/jakarta/7-speed-coffee-kemang,Yes
https://www.zomato.com/id/jakarta/ben-gongs-tea-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/sana-sini-restaurant-thamrin,Yes
https://www.zomato.com/id/jakarta/pisang-goreng-madu-bu-nanik-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/savoi-ultra-lounge-senopati,Yes
https://www.zomato.com/id/jakarta/abuba-steak-serpong-utara,Yes
https://www.zomato.com/id/jakarta/cohere-bogor-timur-bogor,Yes
https://www.zomato.com/id/jakarta/lovester-shack-pondok-indah,Yes
https://www.zomato.com/id/jakarta/angke-ketapang-gajah-mada,Yes
