Restaurant Name,Restaurant Area,Restaurant Address,Latitude,Longitude,Province,City,District/Kecamatan
Aping Chinese Food,Green Ville,"Ruko Central Green Ville, Jl. Mangga 1 No. 2C, Green Ville, Jakarta",-6.173994,106.779445,DKI Jakarta,Jakarta Barat,Kebon Jeruk
Puput,Setiabudi,"Setiabudi One, Lantai 1, Jl. HR Rasuna Said, Setiabudi, Jakarta",-6.2156297797,106.830101497,DKI Jakarta,Jakarta Selatan,Setiabudi
Madame Mai,Pluit,"Pluit Village, Lantai Ground, Jl. Pluit Indah Raya, Pluit, Jakarta",-6.116660541900001,106.78954213799999,DKI Jakarta,Jakarta Utara,Penjaringan
Fiordelatte Coffee,Serpong Utara,"Pasar Delapan Alam Sutera, Blok RB No. 36, Jl. Alam Utama, Serpong Utara, Tangerang",-6.239253,106.65138600000002,Banten,Tangerang Selatan,Serpong Utara
Ramen 1,Beji,"Margo City, Lantai 1, Jl. Margonda Raya, Beji, Depok",-6.3722673684,106.83487482299999,Jawa Barat,Depok,Beji
Bunk Lounge - Hotel Pullman Jakarta Central Park,Tanjung Duren,"Hotel Pullman Jakarta Central Park, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",-6.1777866161000015,106.78878843700001,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Indische Koffie,Ciputat Timur,"Jl. Bintaro Tengah Blok Y4 No. 1, Ciputat Timur, Tangerang",-6.278421,106.753136,Banten,Tangerang Selatan,Ciputat Timur
Asinan Ny. Isye,Rawamangun,"Jl. Kamboja 3 No.12, Rawamangun, Jakarta 13220",-6.2014894501999995,106.884473227,DKI Jakarta,Jakarta Timur,Pulogadung
Soto Jakarta Bang Madun,Blok M,"Jl. Barito 1, Blok M, Jakarta",-6.244915,106.793675,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Spice Eatery,Serpong Utara,"Ruko South Goldfinch, Jl. Boulevard Springs Gading Serpong, Blok B No. 21, Serpong Utara, Tangerang",-6.273831,106.640296,Banten,Tangerang Kabupaten,Pagedangan
Mantis Eatery,Pondok Indah,"Pondok Indah Plaza 2, Jl. Metro Pondok Indah, Pondok Indah, Jakarta",-6.285653,106.781144,DKI Jakarta,Jakarta Selatan,Kebayoran Lama
Nasi Uduk Ijo Teh Dede,Bekasi Selatan,"Jl. Galaxi Raya, Bekasi Selatan, Jakarta",-6.25412,106.968769,Jawa Barat,Bekasi Kota,Bekasi Selatan
Bubur Ayam Senopati,Senopati,"Jl. Senopati Raya, Senopati, Jakarta",-6.230839275599999,106.808490939,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Yole,Tebet,"Kota Kasablanka, Lantai Ground, Jl. Casablanca Raya, Tebet, Jakarta",-6.223991000000002,106.842176,DKI Jakarta,Jakarta Selatan,Tebet
Bakul Bakul,Bogor Timur,"Jl. Pakuan No. 14, Bogor Timur, Bogor",-6.606464,106.811796,Jawa Barat,Bogor Kota,Bogor Timur
Philocoffee,Fatmawati,"Jl. Pondok Labu I No. 10, Fatmawati, Jakarta",-6.305553,106.793248,DKI Jakarta,Jakarta Selatan,Cilandak
Pecel Pincuk Godong Ijo,Bintaro,"Jl. Taman Bintaro No. 7, Bintaro, Jakarta",-6.272777,106.758331,DKI Jakarta,Jakarta Selatan,Pesanggrahan
Kyo Sushi,Kelapa Gading,"Jl. Boulevard Raya Blok FW 1 No. 8, Kelapa Gading, Jakarta",-6.1643582832,106.90319940399999,DKI Jakarta,Jakarta Utara,Kelapa Gading
Sky Lounge - Grand Mercure,Hayam Wuruk,"Grand Mercure, Jl. Hayam Wuruk No. 36 - 37, Hayam Wuruk, Jakarta",-6.159978,106.820073,DKI Jakarta,Jakarta Pusat,Gambir
Gendhis Legi Resto,Jatisampurna,"Jl. Pesona Paris Raya No. 63, Jatisampurna, Bekasi",-6.3778745065999995,106.95826750200001,Jawa Barat,Bogor Kabupaten,Gunung Putri
Toko Kopi Tuamuda,Karet,"Jl. Prof. DR. Satrio No. 235, Karet, Jakarta 12940",-6.220687,106.820798,DKI Jakarta,Jakarta Selatan,Setiabudi
Xing Zhuan,Kelapa Gading,"Jl. Boulevard Raya, Blok LA 6 No. 16, Kelapa Gading, Jakarta",-6.158138,106.906567,DKI Jakarta,Jakarta Utara,Kelapa Gading
Warung Jengkol,Rawamangun,"Jl. Balai Pustaka Raya No. 4, Rawamangun, Jakarta",-6.196726,106.883177,DKI Jakarta,Jakarta Timur,Pulogadung
LET'S TOAST,Mampang Prapatan,"Food Lab, Jl. Kapten Tendean No. 41, Mampang Prapatan, Jakarta",-6.240245,106.821868,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
LongLife Vegetarian & Vegan,Serpong Utara,"Ruko Pasar Modern Paramount, Jl. Kelapa Dua Raya, Blok D No. 9, Serpong Utara, Tangerang",-6.2484399847,106.622546464,Banten,Tangerang Kabupaten,Kelapa Dua
SABA,Cilandak,"AD Premier Building, Jl. TB Simatupang No. 5, Cilandak, Jakarta",-6.296235,106.825807,DKI Jakarta,Jakarta Selatan,Pasar Minggu
Opa Suki,Pondok Indah,"Pondok Indah Mall 2, Lantai Ground, Jl. Metro Pondok Indah, Pondok Indah, Jakarta",-6.2666879999999985,106.783198,DKI Jakarta,Jakarta Selatan,Kebayoran Lama
Pondok Sate Kambing Muda H. Paijo,Bintaro,"Jl. Pondok Ranji Raya No. 10, Bintaro Sektor 3, Bintaro, Jakarta",-6.274035,106.744757,Banten,Tangerang Selatan,Pondok Aren
