Restaurant Name,Restaurant Type,Cuisine Type,Restaurant Area,Restaurant Rating,Review Counts,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info
Spice Restaurant - Mercure Jakarta Kota,Casual Dining,"['Jawa', 'Indonesia', 'Barat']",Mangga Besar,Not Rated Yet,TIdak cukup Ulasan,-6.1491300000,106.817382000,"https://www.zomato.com/id/jakarta/spice-restaurant-mercure-jakarta-kota-mangga-besar
","Mercure Jakarta Kota Hotel, Jl. Hayam Wuruk No. 123, Mangga Besar, Jakarta",Rp500.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Alkohol Tersedia', 'Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Di dalam ruangan']"
Bakso Solo,Food Court,['Bakso'],Senayan,Not Rated Yet,TIdak cukup Ulasan,-6.2149148396,106.806233525,"https://www.zomato.com/id/jakarta/bakso-solo-senayan
","Kuliner GBK, Pintu 7, Jl Stadion Senayan, Senayan, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Black Street Coffee,Kafe,"['Kopi', 'Snacks', 'Tea']",Puri Indah,Not Rated Yet,TIdak cukup Ulasan,-6.1904680000,106.744021000,"https://www.zomato.com/id/jakarta/black-street-coffee-puri-indah
","Jl. Kencana Indah I, Blok J1 No. 1B, Puri Indah, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Jumpa,Quick Bites,['Kopi'],Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2796620000,106.719220000,"https://www.zomato.com/id/jakarta/jumpa-pondok-aren-tangerang
","Pasar Modern Bintaro, Jl. Jenderal Sudirman, Pondok Aren, Tangerang",Rp80.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Sate Ambal Khas Kebumen,Food Court,"['Satay', 'Jawa']",Melawai,Not Rated Yet,TIdak cukup Ulasan,-6.2452464443,106.804854869,"https://www.zomato.com/id/jakarta/sate-ambal-khas-kebumen-melawai
","Pasaraya Grande, Lantai Lower Ground, Dapuraya, Jl. Iskandarsyah II, Melawai, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Subiaco Coffee & Milk,Toko Minuman,['Kopi'],Kebayoran Lama,Not Rated Yet,TIdak cukup Ulasan,-6.2212030000,106.760484000,"https://www.zomato.com/id/jakarta/subiaco-coffee-milk-kebayoran-lama
","Jl. Swadarma Raya No. 95, Kebayoran Lama, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes']"
Cafe de Kalaha,Quick Bites,"['Barat', 'Makanan Cepat Saji']",Karet,Not Rated Yet,TIdak cukup Ulasan,-6.2247569299,106.823382228,"https://www.zomato.com/id/jakarta/cafe-de-kalaha-karet
","Ciputra World, Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Soto Betawi Bang Jamhur 3,Quick Bites,"['Soto', 'Betawi']",Bogor Utara,Not Rated Yet,TIdak cukup Ulasan,-6.5451642129,106.809814274,"https://www.zomato.com/id/jakarta/soto-betawi-bang-jamhur-3-bogor-utara
","Ruko Villa Bogor Indah, Blok CA 2 No. 5, Bogor Utara, Bogor",Rp70.000 untuk 2 orang (perkiraan),"['Sarapan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
MH Coffee,Kafe,"['Minuman', 'Kafe', 'Kopi']",Bekasi Selatan,Not Rated Yet,TIdak cukup Ulasan,-6.2497160000,106.993248000,"https://www.zomato.com/id/jakarta/mh-coffee-bekasi-selatan-bekasi
","Mega Bekasi Hypermall, Lantai 3, Jl. Jenderal Ahmad Yani, Bekasi Selatan, Bekasi",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Golden Key Bistro,Food Court,['Indonesia'],Manggarai,Not Rated Yet,TIdak cukup Ulasan,-6.2095660000,106.847049000,"https://www.zomato.com/id/jakarta/golden-key-bistro-manggarai
","Pasaraya Manggarai, Lantai Basement, DAPURAYA, Jl. Sultan Agung No. 1, Manggarai, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
